chr strand tss gene
chr15 + 102345922 OR4F6
chr14 + 20403766 OR4K1
chr14 - 20502002 OR4K13
chr14 - 20482419 OR4K14
chr14 + 20443677 OR4K15
chr14 + 20585565 OR4K17
chr14 + 20344426 OR4K2
chr14 + 20388765 OR4K5
chr14 + 20528203 OR4L1
chr14 + 20248481 OR4M1
chr15 + 22368477 OR4M2
chr14 + 20271928 OR4N2
chr15 + 22413461 OR4N3P
chr15 + 22382381 OR4N4
chr14 + 20611894 OR4N5
chr11 + 55405833 OR4P4
chr14 + 20215586 OR4Q3
chr11 + 48327774 OR4S1
chr11 + 55418379 OR4S2
chr11 + 48285412 OR4X1
chr11 + 48266655 OR4X2
chr11 - 4976001 OR51A2
chr11 - 4967388 OR51A4
chr11 + 4928599 OR51A7
chr11 - 5344527 OR51B2
chr11 - 5322243 OR51B4
chr11 - 5362112 OR51B5
chr11 + 5372737 OR51B6
chr11 + 4660944 OR51D1
chr11 + 4665155 OR51E1
chr11 - 4701400 OR51E2
chr11 - 4790208 OR51F1
chr11 + 4842615 OR51F2
chr11 - 4944603 OR51G1
chr11 - 4935948 OR51G2
chr11 - 5461771 OR51I1
chr11 + 5474637 OR51I2
chr11 + 5020212 OR51L1
chr11 + 5410606 OR51M1
chr11 + 5443340 OR51Q1
chr11 - 4869466 OR51S1
chr11 + 4903048 OR51T1
chr11 - 5220964 OR51V1
chr11 - 5172660 OR52A1
chr11 - 5152921 OR52A5
chr11 - 6190584 OR52B2
chr11 - 4388492 OR52B4
chr11 + 5602106 OR52B6
chr11 + 5509914 OR52D1
chr11 - 5079879 OR52E2
chr11 + 5905522 OR52E4
chr11 - 5862185 OR52E6
chr11 - 5877978 OR52E8
chr11 - 5565790 OR52H1
chr11 + 4615268 OR52I1
chr11 + 4608020 OR52I2
chr11 + 5067755 OR52J3
chr11 + 4510108 OR52K1
chr11 + 4470524 OR52K2
chr11 - 6007121 OR52L1
chr11 + 4566420 OR52M1
chr11 - 5809083 OR52N1
chr11 + 5841565 OR52N2
chr11 + 5775922 OR52N4
chr11 - 5798863 OR52N5
chr11 - 4824662 OR52R1
chr11 + 6220453 OR52W1
chr11 - 6047900 OR56A1
chr11 + 5968576 OR56A3
chr11 - 6023280 OR56A4
chr11 - 5988782 OR56A5
chr11 + 5757677 OR56B1
chr11 + 6128913 OR56B4
chr11 + 59210641 OR5A1
chr11 - 59189451 OR5A2
chr3 + 97806016 OR5AC2
chr11 + 56756388 OR5AK2
chr11 + 59131931 OR5AN1
chr11 - 56408964 OR5AP2
chr11 + 56431161 OR5AR1
chr11 + 55797894 OR5AS1
chr14 - 21623095 OR5AU1
chr11 - 58206592 OR5B12
chr11 - 58125597 OR5B17
chr11 - 58189737 OR5B2
chr11 - 58274648 OR5B21
chr11 - 58169937 OR5B3
chr9 + 125551211 OR5C1
chr11 + 55540913 OR5D13
chr11 + 55563031 OR5D14
chr11 + 55606227 OR5D16
chr11 + 55587105 OR5D18
chr11 + 7870597 OR5E1P
chr11 - 55761156 OR5F1
chr3 + 97851541 OR5H1
chr3 + 97868229 OR5H14
chr3 + 97887543 OR5H15
chr3 + 98001731 OR5H2
chr3 + 97983128 OR5H6
chr11 - 55702931 OR5I1
chr11 + 55944093 OR5J2
chr3 + 98188323 OR5K1
chr3 + 98216524 OR5K2
chr3 + 98109509 OR5K3
chr3 + 98072697 OR5K4
chr11 + 55578842 OR5L1
chr11 + 55594694 OR5L2
chr11 - 56380030 OR5M1
chr11 - 56344249 OR5M10
chr11 - 56309815 OR5M11
chr11 - 56236963 OR5M3
chr11 - 56257910 OR5M8
chr11 - 56229944 OR5M9
chr11 - 7817520 OR5P2
chr11 - 7846583 OR5P3
chr11 - 56184733 OR5R1
chr11 + 56043114 OR5T1
chr11 - 55999581 OR5T2
chr11 + 56019675 OR5T3
chr6_mcf_hap5 - 626640 OR5V1
chr11 - 55681125 OR5W2
chr11 - 6815755 OR6A2
chr7 + 143701089 OR6B1
chr2 - 240968907 OR6B2
chr2 - 240984493 OR6B3
chr12 + 55714383 OR6C1
chr12 + 55845997 OR6C2
chr12 + 55725484 OR6C3
chr12 + 55945010 OR6C4
chr12 - 55688071 OR6C6
chr12 + 55794312 OR6C65
chr12 + 55886161 OR6C68
chr12 - 55862983 OR6C70
chr12 + 55641071 OR6C74
chr12 + 55758894 OR6C75
chr12 + 55820037 OR6C76
chr1 - 247875130 OR6F1
chr1 - 158669368 OR6K2
chr1 - 158686957 OR6K3
chr1 + 158724605 OR6K6
chr11 - 123676115 OR6M1
chr1 - 158735533 OR6N1
chr1 - 158746471 OR6N2
chr1 - 158532440 OR6P1
chr11 + 57798424 OR6Q1
chr14 - 21108854 OR6S1
chr11 - 123813573 OR6T1
chr7 + 142749437 OR6V1
chr7 - 142759380 OR6W1P
chr11 - 123624287 OR6X1
chr1 - 158516917 OR6Y1
chr19 - 14951759 OR7A10
chr19 - 14991237 OR7A17
chr19 - 14937138 OR7A5
chr19 - 14909985 OR7C1
chr19 + 15052300 OR7C2
chr19 + 9296269 OR7D2
chr19 - 9324525 OR7D4
chr13 + 64311567 OR7E156P
chr19 + 9361719 OR7E24
chr13 + 42016699 OR7E37P
chr11 - 55746178 OR7E5P
chr2 + 71251204 OR7E91P
chr19 - 9225503 OR7G1
chr19 - 9212944 OR7G2
chr19 - 9236687 OR7G3
chr11 + 124439964 OR8A1
chr11 - 124412617 OR8B12
chr11 - 124252297 OR8B2
chr11 - 124266305 OR8B3
chr11 - 124293837 OR8B4
chr11 - 124310045 OR8B8
chr11 - 124179735 OR8D1
chr11 - 124189157 OR8D2
chr11 + 123777138 OR8D4
chr11 + 124134722 OR8G5
chr11 - 56057602 OR8H1
chr11 + 55872518 OR8H2
chr11 + 55889848 OR8H3
chr11 + 55860783 OR8I2
chr11 + 56127690 OR8J1
chr11 - 55904246 OR8J3
chr11 + 56113514 OR8K1
chr11 + 56085782 OR8K3
chr11 - 55926869 OR8K5
chr12 + 48919414 OR8S1
chr11 + 56143099 OR8U1
chr7 - 142723286 OR9A2
chr7 + 141618675 OR9A4
chr11 - 56510303 OR9G4
chr11 + 56467863 OR9G9
chr11 - 57885971 OR9I1
chr12 + 55523552 OR9K2
chr11 + 57791352 OR9Q1
chr11 + 57957905 OR9Q2
chr12 + 122064454 ORAI1
chr7 + 102073976 ORAI2
chr16 + 30960404 ORAI3
chr11 - 69480331 ORAOV1
chr9 + 117085302 ORM1
chr9 + 117092068 ORM2
chr2 - 190634992 ORMDL1
chr12 + 56211805 ORMDL2
chr17 - 38077293 ORMDL3
chr12 + 58087737 OS9
chr11 - 59341870 OSBP
chr22 + 31089768 OSBP2
chr3 - 31702316 OSBPL10
chr3 - 125247701 OSBPL11
chr18 - 21742010 OSBPL1A
chr20 + 60813540 OSBPL2
chr7 - 24836155 OSBPL3
chr11 - 3108345 OSBPL5
chr2 + 179184970 OSBPL6
chr17 - 45884732 OSBPL7
chr12 - 76745577 OSBPL8
chr1 + 52082545 OSBPL9
chr19 - 54597932 OSCAR
chr1 - 36883506 OSCP1
chr14 - 20915206 OSGEP
chr2 - 190611385 OSGEPL1
chr16 + 83986826 OSGIN1
chr8 + 90914095 OSGIN2
chr22 - 30658816 OSM
chr5 + 38845959 OSMR
chr2 - 19551245 OSR1
chr8 + 99956630 OSR2
chr2 - 27293341 OST4
chr4 + 109571740 OSTC
chr9 + 77703397 OSTF1
chr6 - 108362612 OSTM1
chr3 + 190917029 OSTN
chrX + 38211735 OTC
chr16 + 21695749 OTOA
chr2 - 26680070 OTOF
chr3 + 161214595 OTOL1
chr4 - 4190529 OTOP1
chr17 + 72920369 OTOP2
chr17 + 72931896 OTOP3
chr20 + 16728997 OTOR
chr2 - 241078445 OTOS
chr5 - 76924536 OTP
chr11 + 63753324 OTUB1
chr14 + 94492723 OTUB2
chr10 + 23728197 OTUD1
chr1 + 20208887 OTUD3
chr4 - 146054801 OTUD4
chrX - 48779302 OTUD5
chrX + 69282340 OTUD6A
chr8 + 92082423 OTUD6B
chr15 - 31767600 OTUD7A
chr1 - 149912228 OTUD7B
chr2 + 63277936 OTX1
chr14 - 57267424 OTX2
chr17 + 1945276 OVCA2
chr12 - 29580488 OVCH1
chr11 - 7711154 OVCH2
chr1 - 111956936 OVGP1
chr11 + 65554504 OVOL1
chr20 - 18004795 OVOL2
chr14 + 23235730 OXA1L
chr5 - 41730166 OXCT1
chr1 - 40235196 OXCT2
chr2 - 42989638 OXER1
chr13 - 97637972 OXGR1
chr3 + 16306666 OXNAD1
chr8 + 107738334 OXR1
chr3 + 25831562 OXSM
chr3 + 38207025 OXSR1
chr20 + 3052265 OXT
chr3 - 8792094 OXTR
chr17 - 3799884 P2RX1
chr12 + 133195365 P2RX2
chr11 + 57105840 P2RX3
chr12 + 121647663 P2RX4
chr17 - 3576521 P2RX5
chr22 + 21369463 P2RX6
chr22 - 21396680 P2RX6P
chr12 + 121570630 P2RX7
chr3 + 152552481 P2RY1
chrX + 78200828 P2RY10
chr19 + 10222196 P2RY11
chr3 - 151054630 P2RY12
chr3 - 151044095 P2RY13
chr3 - 150929904 P2RY14
chr11 + 72929342 P2RY2
chrX - 69478015 P2RY4
chr11 + 72975549 P2RY6
chrY - 1531465 P2RY8
chr10 - 74766979 P4HA1
chr5 - 131528303 P4HA2
chr11 - 73977693 P4HA3
chr17 - 79801033 P4HB
chr3 + 49027340 P4HTM
chr12 + 56498102 PA2G4
chr3 - 156527059 PA2G4P4
chr11 + 73588013 PAAF1
chr8 - 101715143 PABPC1
chr20 + 43538700 PABPC1L
chrX - 72297176 PABPC1L2A
chrX + 72223351 PABPC1L2B
chr2 + 147344624 PABPC1P2
chr13 + 25670275 PABPC3
chr1 - 40026484 PABPC4
chr4 - 135117488 PABPC4L
chrX + 90689596 PABPC5
chr14 + 23789396 PABPN1
chr16 - 88929747 PABPN1L
chr6 + 163148163 PACRG
chr4 + 20697904 PACRGL
chr11 + 65837823 PACS1
chr14 + 105767147 PACS2
chr6 + 34433837 PACSIN1
chr22 - 43265771 PACSIN2
chr11 - 47199072 PACSIN3
chr1 + 17531620 PADI1
chr1 - 17393255 PADI2
chr1 + 17575592 PADI3
chr1 + 17634689 PADI4
chr1 + 17698690 PADI6
chr9 + 138453601 PAEP
chr19 - 39876269 PAF1
chr17 + 2496922 PAFAH1B1
chr11 + 117014999 PAFAH1B2
chr19 - 42801184 PAFAH1B3
chr1 - 26286257 PAFAH2
chr8 - 81880045 PAG1
chrX - 49452053 PAGE1
chrX + 55115484 PAGE2
chrX + 55101488 PAGE2B
chrX - 55284848 PAGE3
chrX + 49593905 PAGE4
chrX + 55246779 PAGE5
chr12 - 103232103 PAH
chr4 + 57302268 PAICS
chr5 - 43526369 PAIP1
chr5 + 138677520 PAIP2
chr2 - 71409867 PAIP2B
chr11 - 77033059 PAK1
chr6 + 10695187 PAK1IP1
chr3 + 196466727 PAK2
chrX + 110339369 PAK3
chr19 + 39616419 PAK4
chr15 + 40531997 PAK6
chr16 - 23614482 PALB2
chr4 + 169418216 PALLD
chr19 + 708952 PALM
chr9 + 112542576 PALM2
chr9 + 112542576 PALM2-AKAP2
chr19 - 14164178 PALM3
chr1 + 100111430 PALMD
chr5 + 102201526 PAM
chr11 - 35453375 PAMR1
chr12 - 56710006 PAN2
chr13 + 28712642 PAN3
chr10 - 91339253 PANK1
chr20 + 3869580 PANK2
chr5 - 167982627 PANK3
chr1 - 2439969 PANK4
chr11 + 93862093 PANX1
chr22 + 50609159 PANX2
chr11 + 124481452 PANX3
chr10 + 135192740 PAOX
chr5 + 78908242 PAPD4
chr16 + 50186828 PAPD5
chr5 + 6746100 PAPD7
chr14 + 73704204 PAPLN
chr14 + 96968712 PAPOLA
chr7 - 4897368 PAPOLB
chr2 + 60983364 PAPOLG
chr9 + 118916070 PAPPA
chr1 + 176432306 PAPPA2
chr4 - 108534821 PAPSS1
chr10 + 89419475 PAPSS2
chr4 - 79839093 PAQR3
chr16 + 3019245 PAQR4
chr15 + 69591293 PAQR5
chr1 - 156213111 PAQR6
chr1 - 26187974 PAQR7
chr6 + 52226925 PAQR8
chr3 - 142680073 PAQR9
chr10 - 34398487 PARD3
chr2 + 205410515 PARD3B
chr16 + 67694850 PARD6A
chr20 + 49348080 PARD6B
chr18 - 77915116 PARD6G
chr10 - 51026320 PARG
chr1 + 8021713 PARK7
chr3 - 183547172 PARL
chr4 + 75858284 PARM1
chr16 - 14529556 PARN
chr1 - 226548391 PARP1
chr8 - 145051319 PARP10
chr12 - 3918026 PARP11
chr7 - 139723543 PARP12
chr3 + 122399671 PARP14
chr3 + 122334461 PARP15
chr15 - 65550431 PARP16
chr14 + 20811772 PARP2
chr3 + 51976320 PARP3
chr13 - 24995068 PARP4
chr15 - 72533521 PARP6
chr5 + 49962771 PARP8
chr3 - 122250619 PARP9
chr1 - 55222570 PARS2
chr5 + 59783539 PART1
chr11 + 12399025 PARVA
chr22 + 44422183 PARVB
chr22 + 44576769 PARVG
chrX + 150732006 PASD1
chr2 - 242045513 PASK
chr11 + 125616187 PATE1
chr11 - 125646027 PATE2
chr11 + 125658005 PATE3
chr11 + 125703210 PATE4
chr11 - 59404191 PATL1
chr15 - 44957929 PATL2
chr22 - 31721789 PATZ1
chr12 - 79985744 PAWR
chr20 + 21686296 PAX1
chr10 + 102505467 PAX2
chr2 - 223064605 PAX3
chr7 - 127250345 PAX4
chr9 - 36833271 PAX5
chr11 - 31806339 PAX6
chr1 + 18957499 PAX7
chr2 - 113973573 PAX8
chr14 + 37126772 PAX9
chr7 - 154735399 PAXIP1
chr8 - 27667137 PBK
chr10 - 70042416 PBLD
chr6 - 138537126 PBOV1
chr3 - 52579367 PBRM1
chr1 + 164528596 PBX1
chr6_mann_hap4 - 3495333 PBX2
chr9 + 128509616 PBX3
chr19 - 19672515 PBX4
chr1 - 154916558 PBXIP1
chr11 - 66615996 PC
chr9 + 79379351 PCA3
chr10 - 72643264 PCBD1
chr5 + 134240809 PCBD2
chr2 + 70314584 PCBP1
chr12 + 53845885 PCBP2
chr21 + 47269874 PCBP3
chr3 - 51991469 PCBP4
chr13 + 100741268 PCCA
chr3 + 135969166 PCCB
chr5 - 141232675 PCDH1
chr4 + 134070444 PCDH10
chrX + 91090459 PCDH11X
chrY + 4868266 PCDH11Y
chr5 - 141323149 PCDH12
chr10 - 55580859 PCDH15
chr13 + 58205788 PCDH17
chr4 - 138440072 PCDH18
chrX - 99546641 PCDH19
chr13 - 61983818 PCDH20
chr4 + 30722036 PCDH7
chr13 - 53418108 PCDH8
chr13 - 66876965 PCDH9
chr5 + 140165720 PCDHA1
chr5 + 140235467 PCDHA10
chr5 + 140247097 PCDHA11
chr5 + 140254886 PCDHA12
chr5 + 140261853 PCDHA13
chr5 + 140174443 PCDHA2
chr5 + 140180782 PCDHA3
chr5 + 140186658 PCDHA4
chr5 + 140201360 PCDHA5
chr5 + 140207506 PCDHA6
chr5 + 140213968 PCDHA7
chr5 + 140220906 PCDHA8
chr5 + 140227356 PCDHA9
chr5 + 140306301 PCDHAC1
chr5 + 140345746 PCDHAC2
chr5 + 140430960 PCDHB1
chr5 + 140571951 PCDHB10
chr5 + 140579347 PCDHB11
chr5 + 140588290 PCDHB12
chr5 + 140593490 PCDHB13
chr5 + 140601897 PCDHB14
chr5 + 140624916 PCDHB15
chr5 + 140561264 PCDHB16
chr5 + 140619688 PCDHB19P
chr5 + 140474190 PCDHB2
chr5 + 140479825 PCDHB3
chr5 + 140501331 PCDHB4
chr5 + 140514787 PCDHB5
chr5 + 140529602 PCDHB6
chr5 + 140552201 PCDHB7
chr5 + 140557370 PCDHB8
chr5 + 140566700 PCDHB9
chr5 + 140710251 PCDHGA1
chr5 + 140792742 PCDHGA10
chr5 + 140800536 PCDHGA11
chr5 + 140810157 PCDHGA12
chr5 + 140718326 PCDHGA2
chr5 + 140723600 PCDHGA3
chr5 + 140734591 PCDHGA4
chr5 + 140743897 PCDHGA5
chr5 + 140753650 PCDHGA6
chr5 + 140762305 PCDHGA7
chr5 + 140771482 PCDHGA8
chr5 + 140782519 PCDHGA9
chr5 + 140729827 PCDHGB1
chr5 + 140739702 PCDHGB2
chr5 + 140749830 PCDHGB3
chr5 + 140767451 PCDHGB4
chr5 + 140777694 PCDHGB5
chr5 + 140787769 PCDHGB6
chr5 + 140797213 PCDHGB7
chr5 + 140805852 PCDHGB8P
chr5 + 140855568 PCDHGC3
chr5 + 140864740 PCDHGC4
chr5 + 140868807 PCDHGC5
chr11 + 82868136 PCF11
chr2 + 193614570 PCGEM1
chr2 - 74732169 PCGF1
chr17 - 36890149 PCGF2
chr4 + 699529 PCGF3
chr10 + 92922768 PCGF5
chr10 - 105062552 PCGF6
chr13 - 113831852 PCID2
chr20 + 44563316 PCIF1
chr20 + 56136136 PCK1
chr14 + 24563339 PCK2
chr7 - 82383320 PCLO
chr8 + 17780365 PCM1
chr6 + 150070830 PCMT1
chr8 - 52730134 PCMTD1
chr20 + 62887047 PCMTD2
chr20 - 5095598 PCNA
chr4 - 100081750 PCNAP1
chr3 + 101292937 PCNP
chr21 + 47744035 PCNT
chr7 + 100199881 PCOLCE
chr3 - 142536701 PCOLCE2
chr13 + 24463025 PCOTH
chr19 - 7696500 PCP2
chr21 + 41239346 PCP4
chr1 + 161228516 PCP4L1
chr5 - 95726039 PCSK1
chrX - 48689501 PCSK1N
chr20 + 17206751 PCSK2
chr19 - 1481426 PCSK4
chr9 + 78505559 PCSK5
chr15 - 101844132 PCSK6
chr11 - 117075786 PCSK7
chr1 + 55505148 PCSK9
chr17 + 53828339 PCTP
chr2 + 70485230 PCYOX1
chr5 + 148737569 PCYOX1L
chr3 - 195964615 PCYT1A
chrX - 24576203 PCYT1B
chr17 - 79860776 PCYT2
chr7 - 98992297 PDAP1
chr1 - 186412697 PDC
chr2 - 242792032 PDCD1
chr3 - 167401694 PDCD10
chr10 + 105156411 PDCD11
chr9 + 5510544 PDCD1LG2
chr6 - 170884659 PDCD2
chr19 + 34895302 PDCD2L
chr10 + 112631552 PDCD4
chr19 + 33072093 PDCD5
chr5 + 271735 PDCD6
chr3 + 33840062 PDCD6IP
chr15 - 65409716 PDCD7
chr9 - 125580375 PDCL
chr4 - 56422691 PDCL2
chr2 + 101179417 PDCL3
chr11 - 767222 PDDC1
chr6 - 165740775 PDE10A
chr2 - 178487976 PDE11A
chr3 + 57541973 PDE12
chr2 - 183004761 PDE1A
chr12 + 54943176 PDE1B
chr7 - 31823125 PDE1C
chr11 - 72287183 PDE2A
chr12 + 20522178 PDE3A
chr11 + 14665268 PDE3B
chr19 + 10527448 PDE4A
chr1 + 66258855 PDE4B
chr19 - 18318770 PDE4C
chr5 - 58264865 PDE4D
chr1 - 144951760 PDE4DIP
chr4 - 120415549 PDE5A
chr5 - 149237518 PDE6A
chr4 + 619362 PDE6B
chr10 + 95372344 PDE6C
chr2 - 232597134 PDE6D
chr17 - 79617488 PDE6G
chr12 + 15125955 PDE6H
chr8 - 66626568 PDE7A
chr6 + 136172833 PDE7B
chr15 + 85523743 PDE8A
chr5 + 76506705 PDE8B
chr21 + 44073861 PDE9A
chr16 - 69362523 PDF
chr7 - 536896 PDGFA
chr22 - 39619363 PDGFB
chr4 - 157682762 PDGFC
chr11 - 103777913 PDGFD
chr4 + 55095255 PDGFRA
chr5 - 149493401 PDGFRB
chr8 + 17433941 PDGFRL
chrX + 19362010 PDHA1
chr4 + 96761238 PDHA2
chr3 - 58413356 PDHB
chr11 + 34937676 PDHX
chr16 + 333117 PDIA2
chr15 + 44038589 PDIA3
chr7 - 148700153 PDIA4
chr3 + 122785855 PDIA5
chr2 - 10923516 PDIA6
chr1 + 26438267 PDIK1L
chr16 - 20370491 PDILT
chr2 + 173420100 PDK1
chr17 + 48172100 PDK2
chrX + 24483343 PDK3
chr7 - 95212808 PDK4
chr10 - 96997324 PDLIM1
chr8 + 22437986 PDLIM2
chr4 - 186421814 PDLIM3
chr5 + 131593350 PDLIM4
chr4 + 95373007 PDLIM5
chr5 - 176910394 PDLIM7
chr8 + 94929082 PDP1
chr16 + 66914263 PDP2
chr16 + 2587964 PDPK1
chr1 + 13910251 PDPN
chr16 + 70147528 PDPR
chr20 - 30532757 PDRG1
chr4 - 39824482 PDS5A
chr13 + 33160563 PDS5B
chr10 + 26986352 PDSS1
chr6 - 107473760 PDSS2
chr13 + 28494167 PDX1
chr16 + 15068819 PDXDC1
chr21 + 45138977 PDXK
chr22 + 38054736 PDXP
chr20 - 1959401 PDYN
chrX - 69506210 PDZD11
chr5 + 31639516 PDZD2
chr11 + 119056165 PDZD3
chrX - 153067620 PDZD4
chr10 - 102767439 PDZD7
chr10 - 119039999 PDZD8
chr16 - 21995185 PDZD9
chr1 + 145727665 PDZK1
chr1 - 47649260 PDZK1IP1
chr1 - 145924387 PDZK1P1
chr3 - 73431580 PDZRN3
chr12 + 41582249 PDZRN4
chr1 + 160175108 PEA15
chr1 + 156863522 PEAR1
chr12 + 118573688 PEBP1
chr8 - 22570764 PEBP4
chr17 - 62396776 PECAM1
chr2 - 216903110 PECR
chr1 - 32095462 PEF1
chr7 + 94285636 PEG10
chr19 - 57321444 PEG3
chr2 - 64319785 PELI1
chr14 + 56585092 PELI2
chr11 + 66233797 PELI3
chr5 + 52083773 PELO
chr17 - 4574678 PELP1
chr17 - 17408876 PEMT
chr8 - 57353512 PENK
chr19 - 33877854 PEPD
chr17 - 8043787 PER1
chr2 - 239152678 PER2
chr1 + 7844488 PER3
chr7 + 9673899 PER4
chr6 - 138409641 PERP
chr22 - 30972611 PES1
chr7 - 92116336 PEX1
chr1 - 2336240 PEX10
chr15 - 90224761 PEX11A
chr1 + 145516164 PEX11B
chr19 - 7541755 PEX11G
chr17 - 33901813 PEX12
chr2 + 61244811 PEX13
chr1 + 10535002 PEX14
chr11 - 45931219 PEX16
chr1 - 160246598 PEX19
chr8 - 77892493 PEX2
chr22 + 18560685 PEX26
chr6 + 143771917 PEX3
chr12 + 7341758 PEX5
chr3 - 179512746 PEX5L
chr6 - 42931610 PEX6
chr6 + 137143701 PEX7
chr4 - 74846541 PF4
chr4 + 74719012 PF4V1
chr17 + 8152595 PFAS
chr5 - 139624634 PFDN1
chr1 - 161070345 PFDN2
chr20 + 52824501 PFDN4
chr12 + 53689234 PFDN5
chr6_dbb_hap3 + 4538737 PFDN6
chrX - 54959566 PFKFB1
chr1 + 207226619 PFKFB2
chr10 + 6244839 PFKFB3
chr3 - 48555116 PFKFB4
chr21 + 45719916 PFKL
chr12 + 48516429 PFKM
chr10 + 3110161 PFKP
chr17 - 4848944 PFN1
chr3 - 149682690 PFN2
chr5 - 176827107 PFN3
chr2 - 24337678 PFN4
chr11 + 60970984 PGA3
chr11 + 60989820 PGA4
chr11 + 61008647 PGA5
chr10 + 99185881 PGAM1
chr7 - 44102325 PGAM2
chrX - 77223457 PGAM4
chr12 + 133287392 PGAM5
chr2 - 197697727 PGAP1
chr11 + 3818953 PGAP2
chr17 - 37827374 PGAP3
chr6 + 28249313 PGBD1
chr1 + 249200441 PGBD2
chr10 - 50723150 PGBD3
chr15 + 34394273 PGBD4
chr1 - 230457391 PGBD5
chr6 - 41704448 PGC
chr1 + 10459048 PGD
chr14 - 75408532 PGF
chr5 - 114546526 PGGT1B
chrX + 77359665 PGK1
chr6 - 49753363 PGK2
chr19 + 17622431 PGLS
chr19 - 46522411 PGLYRP1
chr19 - 15579456 PGLYRP2
chr1 - 153270337 PGLYRP3
chr1 - 153302596 PGLYRP4
chr1 + 64058946 PGM1
chr4 + 37828281 PGM2
chr11 - 74041356 PGM2L1
chr6 - 83874592 PGM3
chr9 + 70971814 PGM5
chr9 - 69080243 PGM5P2
chr16 - 2261602 PGP
chr19 + 18451396 PGPEP1
chr15 - 99511458 PGPEP1L
chr11 - 100900354 PGR
chrX + 118370207 PGRMC1
chr4 - 129190391 PGRMC2
chr17 + 76374698 PGS1
chr6 + 12716887 PHACTR1
chr6 + 143929316 PHACTR2
chr20 + 58296264 PHACTR3
chr1 + 28696092 PHACTR4
chr5 + 125936606 PHAX
chr17 - 47481409 PHB
chr12 - 7074514 PHB2
chr12 + 9067315 PHC1
chr1 - 33789223 PHC2
chr3 - 169805367 PHC3
chrX + 22050561 PHEX
chr6_ssto_hap7 + 4859020 PHF1
chr6 - 170104001 PHF10
chr13 + 50069745 PHF11
chr17 - 27232270 PHF12
chr1 + 6673755 PHF13
chr7 + 11013498 PHF14
chr9 - 123617928 PHF19
chr9 + 96338908 PHF2
chr20 + 34359922 PHF20
chr8 + 133787603 PHF20L1
chr11 - 45950869 PHF21A
chr22 - 45277042 PHF21B
chr17 - 7138346 PHF23
chr6 + 64345706 PHF3
chr22 - 41855720 PHF5A
chrX + 133507341 PHF6
chr3 + 52444523 PHF7
chrX - 53963112 PHF8
chr1 + 120254418 PHGDH
chr15 + 40643233 PHGR1
chr6 - 79644135 PHIP
chrX - 71798663 PHKA1
chrX - 18910415 PHKA2
chr16 + 47495209 PHKB
chr7 - 56147975 PHKG1
chr16 + 30759619 PHKG2
chr12 - 76419226 PHLDA1
chr11 - 2949502 PHLDA2
chr1 - 201434606 PHLDA3
chr11 + 118478305 PHLDB1
chr3 + 111578026 PHLDB2
chr19 - 43979254 PHLDB3
chr18 + 60382671 PHLPP1
chr16 - 71678828 PHLPP2
chr17 - 47300731 PHOSPHO1
chr2 + 170550963 PHOSPHO2
chr11 - 71950120 PHOX2A
chr4 - 41746098 PHOX2B
chr9 + 139743267 PHPT1
chr11 + 576445 PHRF1
chr1 - 114239826 PHTF1
chr7 + 77469446 PHTF2
chr10 - 13319795 PHYH
chr9 + 131683173 PHYHD1
chr8 - 22077215 PHYHIP
chr10 + 60937226 PHYHIPL
chr8 + 75736771 PI15
chr6 + 36916038 PI16
chr20 + 43803539 PI3
chr10 + 99400442 PI4K2A
chr4 + 25235652 PI4K2B
chr22 - 21061978 PI4KA
chr22 - 20383730 PI4KAP1
chr22 - 21827286 PI4KAP2
chr1 - 151264272 PI4KB
chr15 + 68346516 PIAS1
chr18 - 44403248 PIAS2
chr1 + 145575987 PIAS3
chr19 + 4007595 PIAS4
chr13 + 73356229 PIBF1
chr11 - 85668213 PICALM
chr22 + 38453261 PICK1
chr2 - 229888688 PID1
chr15 - 65107828 PIF1
chrX - 15337572 PIGA
chr15 + 55611132 PIGB
chr1 - 172410596 PIGC
chr2 - 46808412 PIGF
chr4 + 492988 PIGG
chr14 - 68056022 PIGH
chr1 - 77554666 PIGK
chr17 + 16120508 PIGL
chr1 - 159997461 PIGM
chr18 - 59711457 PIGN
chr9 - 35088684 PIGO
chr21 - 38437663 PIGP
chr16 + 619967 PIGQ
chr1 - 207101866 PIGR
chr17 - 26880405 PIGS
chr20 + 44044706 PIGT
chr20 - 33148345 PIGU
chr1 + 27114453 PIGV
chr17 + 34890588 PIGW
chr3 + 196439244 PIGX
chr4 - 89442128 PIGY
chr3 - 196673213 PIGZ
chr19 - 49949549 PIH1D1
chr11 - 111934733 PIH1D2
chr10 - 98353068 PIK3AP1
chr11 - 17108123 PIK3C2A
chr1 - 204391757 PIK3C2B
chr12 + 18414473 PIK3C2G
chr18 + 39535162 PIK3C3
chr3 + 178866310 PIK3CA
chr3 - 138371539 PIK3CB
chr1 + 9711789 PIK3CD
chr7 + 106505722 PIK3CG
chr22 - 31677578 PIK3IP1
chr5 + 67588395 PIK3R1
chr19 + 18263987 PIK3R2
chr1 - 46505811 PIK3R3
chr3 - 130397777 PIK3R4
chr17 - 8782232 PIK3R5
chr17 - 8706040 PIK3R6
chr2 + 209130990 PIKFYVE
chr7 + 99971067 PILRA
chr7 + 99955625 PILRB
chr6 + 37137921 PIM1
chrX - 48770458 PIM2
chr22 + 50354142 PIM3
chr19 + 9945882 PIN1
chrX + 71401525 PIN4
